CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME
5,14.29,14.29,2,13.97,13.97,4,14.23,14.23,3,14.10,,1,13.87,13.87
2,10.22,24.51,1,10.49,24.46,5,10.52,24.75,4,10.51,,2,10.64,24.51
2,9.94,34.45,1,9.80,34.26,4,9.89,34.64,5,10.19,,3,10.03,34.54
2,10.32,44.77,1,10.33,44.59,5,10.28,44.92,4,10.09,,3,10.32,44.86
2,10.09,54.86,1,10.09,54.68,5,10.32,55.24,4,10.17,,3,10.10,54.96
2,10.19,1:05.05,1,10.29,1:04.97,5,10.13,1:05.37,4,10.12,,3,10.13,1:05.09
1,9.45,1:14.50,2,9.63,1:14.60,5,9.63,1:15.00,3,9.52,,4,9.72,1:14.81
1,9.24,1:23.74,2,9.49,1:24.09,5,9.60,1:24.60,3,9.50,,4,9.49,1:24.30
1,9.49,1:33.23,2,9.40,1:33.49,4,10.41,1:35.018,3,9.35,,3,9.44,1:33.745
