MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,Vira-Nika KHOMENKO POSITION,Vira-Nika KHOMENKO LAP TIME,Vira-Nika KHOMENKO ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
3,16.57,16.57,2,16.29,16.29,4,16.61,16.61,1,16.28,16.28
2,11.58,28.15,4,12.25,28.54,3,11.87,28.48,1,11.84,28.12
1,11.28,39.43,4,11.53,40.07,3,11.52,40.00,2,11.66,39.78
3,23.57,1:03.00,4,30.15,1:10.22,2,10.80,50.80,1,9.64,49.42
3,12.28,1:15.28,4,17.30,1:27.52,2,10.44,1:01.24,1,10.10,59.52
3,9.89,1:25.17,4,15.10,1:42.62,2,10.94,1:12.18,1,10.59,1:10.11
3,10.30,1:35.47,4,13.84,1:56.46,2,11.82,1:24.00,1,10.33,1:20.44
3,10.63,1:46.10,4,13.07,2:09.53,2,11.55,1:35.55,1,11.13,1:31.57
3,11.82,1:57.919,4,12.99,2:22.513,2,12.29,1:47.833,1,10.97,1:42.540
