de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Barbara KOBYLAKIEWICZ POSITION,Barbara KOBYLAKIEWICZ LAP TIME,Barbara KOBYLAKIEWICZ ELAPSED TIME
2,8.59,8.59,1,8.40,8.40,4,9.04,9.04,3,8.82,8.82
2,11.02,19.61,1,11.09,19.49,4,10.83,19.87,3,10.91,19.73
2,10.79,30.40,1,10.80,30.29,4,10.77,30.64,3,10.78,30.51
2,10.78,41.18,1,10.77,41.06,4,10.75,41.39,3,10.77,41.28
2,10.82,52.00,1,10.81,51.87,4,10.83,52.22,3,10.80,52.08
2,10.79,1:02.79,1,10.78,1:02.65,4,10.83,1:03.05,3,10.82,1:02.90
2,10.61,1:13.40,1,10.61,1:13.26,4,10.63,1:13.68,3,10.63,1:13.53
2,10.65,1:24.05,1,10.64,1:23.90,4,10.60,1:24.28,3,10.61,1:24.14
2,10.76,1:34.81,1,10.80,1:34.70,4,10.76,1:35.04,3,10.79,1:34.93
2,10.49,1:45.30,1,10.40,1:45.10,4,10.56,1:45.60,3,10.57,1:45.50
2,10.41,1:55.71,1,10.25,1:55.35,3,10.42,1:56.02,4,10.85,1:56.35
2,10.70,2:06.41,1,10.16,2:05.51,3,10.46,2:06.48,4,11.74,2:08.09
3,11.13,2:17.54,1,10.41,2:15.92,2,10.71,2:17.19,4,12.50,2:20.59
3,11.57,2:29.106,1,11.24,2:27.151,2,11.25,2:28.437,4,13.08,2:33.661
