DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME
3,7.79,7.79,2,7.52,7.52,4,7.88,7.88,1,7.36,7.36
4,10.03,17.82,2,9.48,17.00,3,9.52,17.40,1,9.63,16.99
4,9.64,27.46,1,8.99,25.99,3,8.92,26.32,2,9.24,26.23
4,9.87,37.33,1,9.01,35.00,2,8.87,35.19,3,9.03,35.26
4,10.32,47.65,0,9.38,44.38,0,9.19,44.38,3,9.22,44.48
