Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME
6,9.77,9.77,3,9.64,9.64,4,9.69,9.69,5,9.74,9.74,1,9.59,9.59,2,9.61,9.61
2,12.79,22.56,3,12.95,22.59,4,12.95,22.64,6,13.07,22.81,5,13.14,22.73,1,12.87,22.48
1,11.26,33.82,4,11.49,34.08,3,11.37,34.01,6,11.52,34.33,5,11.50,34.23,2,11.43,33.91
2,11.50,45.32,4,11.47,45.55,3,11.42,45.43,6,11.48,45.81,5,11.48,45.71,1,11.25,45.16
3,10.96,56.28,4,10.95,56.50,2,10.84,56.27,6,10.95,56.76,5,10.96,56.67,1,11.02,56.18
1,10.01,1:06.29,4,10.29,1:06.79,2,10.30,1:06.57,6,10.23,1:06.99,5,10.24,1:06.91,3,10.48,1:06.66
1,10.13,1:16.42,3,9.75,1:16.54,6,10.15,1:16.72,4,9.59,1:16.58,2,9.61,1:16.52,5,9.96,1:16.62
1,9.47,1:25.89,3,9.52,1:26.06,6,9.78,1:26.50,4,9.63,1:26.21,2,9.48,1:26.00,5,9.71,1:26.33
1,9.46,1:35.35,3,9.46,1:35.52,6,9.32,1:35.82,4,9.38,1:35.59,2,9.43,1:35.43,5,9.37,1:35.70
1,9.67,1:45.02,3,9.62,1:45.14,6,9.64,1:45.46,4,9.63,1:45.22,2,9.59,1:45.02,5,9.68,1:45.38
3,9.49,1:54.51,2,9.35,1:54.49,6,9.47,1:54.93,4,9.30,1:54.52,1,9.23,1:54.25,5,9.46,1:54.84
2,9.51,2:04.02,6,10.50,2:04.99,5,9.59,2:04.52,4,9.91,2:04.43,1,9.30,2:03.55,3,9.44,2:04.28
3,9.86,2:13.88,6,10.84,2:15.83,5,9.57,2:14.09,4,9.55,2:13.98,1,9.40,2:12.95,2,9.46,2:13.74
3,10.26,2:24.136,6,11.22,2:27.044,5,10.72,2:24.805,4,10.38,2:24.351,1,9.76,2:22.705,2,9.78,2:23.515
