KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
1,8.22,8.22,2,8.36,8.36,3,8.52,8.52,4,8.69,8.69,6,8.90,8.90,5,8.80,8.80,7,9.06,9.06
1,11.51,19.73,2,11.45,19.81,3,11.44,19.96,4,11.38,20.07,6,11.40,20.30,5,11.41,20.21,7,11.34,20.40
2,10.60,30.33,3,10.62,30.43,4,10.60,30.56,5,10.56,30.63,1,10.03,30.33,6,10.58,30.79,7,10.51,30.91
1,9.74,40.07,3,9.74,40.17,5,9.74,40.30,4,9.57,40.20,2,9.75,40.08,6,9.67,40.46,7,9.67,40.58
1,9.59,49.66,6,9.87,50.04,3,9.64,49.94,2,9.58,49.78,4,9.86,49.94,5,9.57,50.03,7,9.58,50.16
1,9.25,58.91,7,9.27,59.31,2,9.06,59.00,3,9.23,59.01,5,9.29,59.23,4,9.14,59.17,6,9.08,59.24
1,9.22,1:08.13,7,9.35,1:08.66,2,9.24,1:08.24,5,9.42,1:08.43,6,9.32,1:08.55,4,9.17,1:08.34,3,9.07,1:08.31
1,9.20,1:17.33,7,9.22,1:17.88,2,9.18,1:17.42,5,9.22,1:17.65,6,9.25,1:17.80,4,9.18,1:17.52,3,9.20,1:17.51
1,9.10,1:26.43,7,9.20,1:27.08,2,9.10,1:26.52,5,9.24,1:26.89,6,9.18,1:26.98,3,9.13,1:26.65,4,9.23,1:26.74
1,9.11,1:35.54,7,9.10,1:36.18,2,9.13,1:35.65,3,9.12,1:36.01,5,9.13,1:36.11,6,9.50,1:36.15,4,9.32,1:36.06
1,9.18,1:44.72,6,9.36,1:45.54,2,9.19,1:44.84,4,9.39,1:45.40,3,9.11,1:45.22,7,10.36,1:46.51,5,9.40,1:45.46
1,9.39,1:54.11,6,9.43,1:54.97,2,9.36,1:54.20,5,9.56,1:54.96,3,9.33,1:54.55,7,10.60,1:57.11,4,9.46,1:54.92
1,9.67,2:03.78,4,9.24,2:04.21,2,9.67,2:03.87,6,10.29,2:05.25,3,9.34,2:03.89,7,11.35,2:08.46,5,9.38,2:04.30
2,10.17,2:13.948,5,16.75,2:20.958,0,,PEN,3,11.03,2:16.273,1,9.75,2:13.632,4,11.68,2:20.133,0,,PEN
