SONG Kyung-Taek POSITION,SONG Kyung-Taek LAP TIME,SONG Kyung-Taek ELAPSED TIME,LI Haonan POSITION,LI Haonan LAP TIME,LI Haonan ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME
4,7.061,7.061,2,6.857,6.857,1,6.802,6.802,3,6.912,6.912
3,9.134,16.194,1,9.065,15.921,2,9.216,16.018,4,9.534,16.445
3,8.823,25.017,1,8.992,24.913,2,8.936,24.953,4,8.867,25.312
3,8.830,33.847,2,8.889,33.802,1,8.809,33.762,4,8.926,34.237
3,9.54,43.379,1,9.51,43.310,2,9.61,43.365,4,10.17,44.400
