KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
1,9.33,9.33,3,9.53,9.53,4,9.65,9.65,5,9.76,9.76,2,9.38,9.38
1,14.02,23.35,3,14.07,23.60,4,14.03,23.68,5,14.10,23.86,2,14.09,23.47
2,12.33,35.68,4,12.30,35.90,1,11.81,35.49,5,12.18,36.04,3,12.31,35.78
2,12.25,47.93,3,12.07,47.97,1,12.37,47.86,5,12.05,48.09,4,12.24,48.02
3,11.87,59.80,1,11.55,59.52,2,11.76,59.62,5,11.77,59.86,4,11.81,59.83
4,10.86,1:10.66,2,10.84,1:10.36,3,10.86,1:10.48,5,10.91,1:10.77,1,10.41,1:10.24
4,10.64,1:21.30,2,10.71,1:21.07,3,10.70,1:21.18,5,10.63,1:21.40,1,10.66,1:20.90
4,10.52,1:31.82,2,10.48,1:31.55,3,10.49,1:31.67,5,10.52,1:31.92,1,10.47,1:31.37
4,10.10,1:41.92,2,10.09,1:41.64,3,10.09,1:41.76,5,10.09,1:42.01,1,10.13,1:41.50
4,10.06,1:51.98,2,10.08,1:51.72,3,10.08,1:51.84,5,10.01,1:52.02,1,10.06,1:51.56
4,9.73,2:01.71,2,9.73,2:01.45,3,9.74,2:01.58,5,9.80,2:01.82,1,9.72,2:01.28
3,9.16,2:10.87,2,9.36,2:10.81,4,9.44,2:11.02,5,9.27,2:11.09,1,9.40,2:10.68
2,9.41,2:20.28,3,9.54,2:20.35,4,9.45,2:20.47,5,9.46,2:20.55,1,9.51,2:20.19
1,9.36,2:29.632,3,9.66,2:30.006,5,10.05,2:30.516,4,9.50,2:30.048,2,9.65,2:29.832
