PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME
4,14.14,14.14,1,13.85,,2,13.94,,3,14.00,14.00,5,14.25,14.25
5,10.32,24.46,1,10.20,,3,10.25,,4,10.34,24.34,2,9.83,24.08
5,9.50,33.96,1,9.52,,3,9.57,,4,9.50,33.84,2,9.60,33.68
3,9.62,43.58,1,9.85,,4,9.83,,5,9.89,43.73,2,9.81,43.49
3,9.45,53.03,1,9.48,,4,9.49,,5,9.43,53.16,2,9.42,52.91
2,9.51,1:02.54,4,9.87,,5,10.27,,3,9.60,1:02.76,1,9.57,1:02.48
2,9.73,1:12.27,3,9.78,,5,22.72,,4,9.98,1:12.74,1,9.69,1:12.17
1,9.68,1:21.95,3,10.10,,5,13.65,,4,9.93,1:22.67,2,9.93,1:22.10
1,10.13,1:32.08,4,11.05,,5,22.02,2:01.74,3,10.51,1:33.18,2,10.09,1:32.19
