Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,de Xun CHEW POSITION,de Xun CHEW LAP TIME,de Xun CHEW ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
4,9.22,9.22,1,8.88,8.88,3,9.03,9.03,5,9.41,9.41,6,9.56,9.56,2,8.95,8.95
1,12.39,21.61,2,12.90,21.78,4,12.96,21.99,5,12.68,22.09,6,13.13,22.69,3,12.94,21.89
1,12.06,33.67,2,12.01,33.79,4,11.98,33.97,5,11.96,34.05,6,12.96,35.65,3,12.00,33.89
2,12.55,46.22,1,12.31,46.10,4,12.42,46.39,5,12.46,46.51,6,13.12,48.77,3,12.41,46.30
3,12.22,58.44,2,12.19,58.29,5,12.26,58.65,1,11.41,57.92,6,12.99,1:01.76,4,12.24,58.54
3,10.37,1:08.81,2,10.41,1:08.70,5,10.34,1:08.99,1,10.69,1:08.61,6,13.24,1:15.00,4,10.35,1:08.89
3,10.60,1:19.41,2,10.60,1:19.30,5,10.60,1:19.59,1,10.61,1:19.22,6,13.84,1:28.84,4,10.60,1:19.49
3,10.56,1:29.97,2,10.58,1:29.88,5,10.59,1:30.18,1,10.57,1:29.79,6,14.58,1:43.42,4,10.58,1:30.07
3,10.42,1:40.39,1,10.29,1:40.17,5,10.40,1:40.58,2,10.42,1:40.21,6,13.79,1:57.21,4,10.42,1:40.49
3,9.56,1:49.95,2,9.74,1:49.91,4,9.53,1:50.11,5,9.95,1:50.16,6,15.51,2:12.72,1,9.31,1:49.80
3,9.27,1:59.22,2,9.20,1:59.11,4,9.26,1:59.37,5,9.39,1:59.55,6,14.97,2:27.69,1,9.18,1:58.98
3,8.94,2:08.16,2,8.96,2:08.07,4,9.08,2:08.45,5,9.03,2:08.58,6,14.21,2:41.90,1,8.99,2:07.97
3,9.18,2:17.34,2,9.02,2:17.09,5,9.37,2:17.82,4,9.10,2:17.68,6,14.20,2:56.10,1,9.01,2:16.98
3,9.12,2:26.460,2,9.14,2:26.231,5,9.59,2:27.407,4,9.23,2:26.905,6,15.84,3:11.933,1,9.15,2:26.129
