Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME
1,13.87,13.87,2,13.98,13.98,4,14.17,,3,14.07,14.07
1,11.19,25.06,2,11.18,25.16,3,11.03,,4,11.17,25.24
2,10.81,35.87,4,10.93,36.09,3,10.88,,1,10.58,35.82
2,10.15,46.02,3,10.06,46.15,4,10.21,,1,10.18,46.00
1,10.00,56.02,3,10.06,56.21,4,10.01,,2,10.10,56.10
1,10.08,1:06.10,2,9.96,1:06.17,4,10.04,,3,10.11,1:06.21
1,9.83,1:15.93,2,9.85,1:16.02,4,9.89,,3,9.89,1:16.10
1,10.05,1:25.98,2,10.04,1:26.06,4,10.05,,3,10.03,1:26.13
1,10.05,1:36.03,2,10.00,1:36.06,4,10.16,,3,10.06,1:36.19
