de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
1,12.83,12.83,3,13.38,13.38,2,13.17,13.17,4,13.49,13.49
1,10.26,23.09,4,9.96,23.34,2,9.97,23.14,3,9.74,23.23
2,10.10,33.19,4,10.06,33.40,1,9.94,33.08,3,10.05,33.28
4,10.11,43.30,3,9.88,43.28,1,10.06,43.14,2,9.95,43.23
4,10.09,53.39,3,9.99,53.27,1,9.93,53.07,2,9.92,53.15
4,9.83,1:03.22,3,9.69,1:02.96,1,9.74,1:02.81,2,9.68,1:02.83
4,9.64,1:12.86,3,9.82,1:12.78,2,9.65,1:12.46,1,9.49,1:12.32
3,10.37,1:23.23,4,10.76,1:23.54,2,9.66,1:22.12,1,9.69,1:22.01
3,10.55,1:33.771,4,10.57,1:34.105,2,10.01,1:32.130,1,9.90,1:31.910
