NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME,Cynthia MASCITTO POSITION,Cynthia MASCITTO LAP TIME,Cynthia MASCITTO ELAPSED TIME,Marta WOJCIK POSITION,Marta WOJCIK LAP TIME,Marta WOJCIK ELAPSED TIME,XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME
3,11.00,11.00,1,10.70,10.70,4,11.13,11.13,2,10.85,10.85,5,11.23,11.23
3,14.02,25.02,1,13.88,24.58,4,14.01,25.14,2,13.87,24.72,5,14.07,25.30
4,12.46,37.48,1,12.58,37.16,5,12.44,37.58,2,12.55,37.27,3,12.17,37.47
4,11.67,49.15,2,11.68,48.84,5,11.67,49.25,3,11.69,48.96,1,11.25,48.72
4,11.67,1:00.82,2,11.73,1:00.57,5,11.68,1:00.93,3,11.72,1:00.68,1,11.77,1:00.49
4,11.93,1:12.75,1,11.89,1:12.46,5,11.91,1:12.84,3,11.89,1:12.57,2,12.00,1:12.49
4,11.45,1:24.20,1,11.37,1:23.83,5,11.40,1:24.24,3,11.50,1:24.07,2,11.46,1:23.95
3,11.02,1:35.22,1,11.27,1:35.10,5,11.17,1:35.41,4,11.26,1:35.33,2,11.24,1:35.19
1,9.83,1:45.05,3,10.51,1:45.61,5,10.43,1:45.84,4,10.43,1:45.76,2,10.14,1:45.33
1,10.17,1:55.22,3,10.18,1:55.79,4,10.26,1:56.10,5,10.63,1:56.39,2,9.98,1:55.31
1,10.40,2:05.62,3,10.40,2:06.19,4,10.11,2:06.21,5,10.67,2:07.06,2,10.40,2:05.71
1,10.41,2:16.03,4,10.71,2:16.90,3,10.14,2:16.35,5,11.08,2:18.14,2,10.42,2:16.13
1,10.36,2:26.39,4,10.80,2:27.70,3,10.34,2:26.69,5,11.33,2:29.47,2,10.37,2:26.50
1,10.09,2:36.472,4,11.30,2:38.994,3,10.92,2:37.606,5,11.89,2:41.354,2,10.08,2:36.575
