Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
1,7.02,7.02,3,7.34,7.34,2,7.23,7.23,4,7.46,7.46
1,8.85,15.87,3,8.97,16.31,2,8.75,15.98,4,9.06,16.52
2,8.72,24.59,3,8.75,25.06,1,8.54,24.52,4,8.72,25.24
2,8.92,33.51,3,8.98,34.04,1,8.85,33.37,4,8.92,34.16
2,8.82,42.327,3,8.88,42.920,1,8.78,42.147,4,8.86,43.012
