Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Robin van STEEN POSITION,Robin van STEEN LAP TIME,Robin van STEEN ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
1,6.91,6.91,4,7.29,7.29,2,7.08,7.08,3,7.28,7.28,5,7.67,7.67
1,9.13,16.04,4,9.34,16.63,2,9.11,16.19,3,8.99,16.27,5,9.08,16.75
1,8.70,24.74,4,8.76,25.39,3,8.75,24.94,2,8.53,24.80,5,8.74,25.49
1,8.82,33.56,5,9.04,34.43,3,8.83,33.77,2,8.82,33.62,4,8.74,34.23
2,9.19,42.741,5,9.39,43.819,3,9.23,43.001,1,8.97,42.588,4,8.83,43.058
