FAJKUS Radek POSITION,FAJKUS Radek LAP TIME,FAJKUS Radek ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME,SEJPAL Zdenek POSITION,SEJPAL Zdenek LAP TIME,SEJPAL Zdenek ELAPSED TIME
1,6.97,6.97,2,7.18,7.18,3,7.37,7.37,4,7.49,7.49,5,7.68,7.68
1,9.02,15.99,2,9.01,16.19,3,9.01,16.38,4,9.05,16.54,5,9.15,16.83
1,8.81,24.80,2,8.62,24.81,3,8.57,24.95,4,8.63,25.17,5,25.59,42.42
4,21.73,46.53,1,8.83,33.64,2,8.82,33.77,3,8.77,33.94,5,16.48,58.90
4,13.90,1:00.435,1,9.09,42.731,2,9.06,42.833,3,8.96,42.907,5,12.37,1:11.276
