Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME
1,6.66,6.66,2,6.74,6.74,4,6.98,6.98,3,6.97,6.97
1,8.99,15.65,2,8.94,15.68,3,8.98,15.97,4,9.35,16.32
2,8.46,24.12,1,8.39,24.08,3,8.33,24.30,4,8.64,24.97
2,8.53,32.65,1,8.47,32.56,3,8.76,33.06,4,8.77,33.75
0,,DQ,1,9.16,41.718,2,9.01,42.069,3,9.35,43.096
