Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,6.75,6.75,2,6.84,6.84,4,7.23,7.23,3,7.09,7.09
1,8.75,15.50,2,8.80,15.64,4,8.90,16.13,3,8.71,15.80
1,8.25,23.75,2,8.23,23.87,4,8.33,24.46,3,8.30,24.10
1,8.47,32.22,2,8.39,32.26,4,8.35,32.81,3,8.58,32.68
2,8.86,41.08,1,8.78,41.04,4,8.77,41.587,3,8.63,41.315
