BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
1,9.80,9.80,4,10.32,10.32,3,10.15,10.15,2,9.95,9.95
1,15.06,24.86,3,14.89,25.21,4,15.25,25.40,2,15.06,25.01
1,14.29,39.15,3,14.20,39.41,4,14.15,39.55,2,14.31,39.32
1,13.84,52.99,4,13.85,53.26,2,13.48,53.03,3,13.83,53.15
1,11.17,1:04.16,4,11.35,1:04.61,3,11.25,1:04.28,2,11.06,1:04.21
2,10.55,1:14.71,4,10.44,1:15.05,3,10.60,1:14.88,1,10.37,1:14.58
2,10.24,1:24.95,4,10.20,1:25.25,3,10.20,1:25.08,1,10.21,1:24.79
2,9.74,1:34.69,4,9.72,1:34.97,3,9.76,1:34.84,1,9.77,1:34.56
2,9.74,1:44.43,4,9.77,1:44.74,1,9.57,1:44.41,3,9.92,1:44.48
1,9.32,1:53.75,4,9.32,1:54.06,2,9.46,1:53.87,3,9.54,1:54.02
1,9.37,2:03.12,3,9.30,2:03.36,2,9.33,2:03.20,4,9.87,2:03.89
1,9.39,2:12.51,3,9.28,2:12.64,2,9.41,2:12.61,4,10.14,2:14.03
1,9.69,2:22.20,3,9.77,2:22.41,2,9.69,2:22.30,4,11.29,2:25.32
1,9.81,2:32.003,2,9.67,2:32.071,3,9.79,2:32.086,4,13.52,2:38.833
