Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME
3,9.46,9.46,2,9.33,9.33,1,9.27,9.27,5,9.53,9.53,6,9.60,9.60,4,9.47,9.47
6,13.18,22.64,3,12.80,22.13,2,12.75,22.02,1,12.23,21.76,5,12.80,22.40,4,12.78,22.25
6,11.54,34.18,3,11.67,33.80,2,11.60,33.62,1,11.61,33.37,5,11.63,34.03,4,11.66,33.91
6,11.31,45.49,3,11.45,45.25,2,11.51,45.13,1,11.62,44.99,5,11.39,45.42,4,11.43,45.34
6,12.05,57.54,4,11.85,57.10,2,11.85,56.98,1,11.87,56.86,5,11.94,57.36,3,11.74,57.08
6,10.82,1:08.36,2,10.87,1:07.97,4,11.21,1:08.19,3,11.24,1:08.10,5,10.91,1:08.27,1,10.78,1:07.86
5,10.15,1:18.51,2,10.17,1:18.14,4,10.21,1:18.40,3,10.19,1:18.29,6,10.25,1:18.52,1,10.18,1:18.04
3,9.99,1:28.50,2,10.25,1:28.39,5,10.19,1:28.59,6,10.31,1:28.60,4,10.07,1:28.59,1,10.21,1:28.25
3,9.67,1:38.17,2,9.55,1:37.94,4,9.59,1:38.18,6,9.88,1:38.48,5,9.78,1:38.37,1,9.57,1:37.82
4,9.37,1:47.54,1,9.05,1:46.99,3,9.05,1:47.23,6,9.37,1:47.85,5,9.35,1:47.72,2,9.27,1:47.09
5,9.42,1:56.96,1,9.16,1:56.15,3,9.14,1:56.37,6,9.28,1:57.13,4,9.19,1:56.91,2,9.13,1:56.22
6,9.79,2:06.75,1,9.21,2:05.36,3,9.16,2:05.53,5,9.42,2:06.55,4,9.34,2:06.25,2,9.21,2:05.43
6,11.50,2:18.25,1,9.54,2:14.90,3,9.88,2:15.41,5,9.71,2:16.26,4,9.69,2:15.94,2,9.68,2:15.11
6,12.89,2:31.137,1,9.60,2:24.497,5,11.19,2:26.592,4,9.78,2:26.039,3,10.02,2:25.958,2,9.43,2:24.541
