Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
2,14.03,14.03,1,13.89,13.89,4,14.43,14.43,3,14.20,14.20,5,14.44,14.44
2,10.13,24.16,1,10.18,24.07,5,10.03,24.46,3,10.12,24.32,4,9.98,24.42
2,9.41,33.57,1,9.38,33.45,4,9.27,33.73,3,9.39,33.71,5,9.44,33.86
3,9.38,42.95,1,9.35,42.80,2,9.11,42.84,5,9.46,43.17,4,9.30,43.16
2,9.08,52.03,1,9.15,51.95,3,9.29,52.13,5,9.47,52.64,4,9.18,52.34
2,9.15,1:01.18,1,9.13,1:01.08,3,9.28,1:01.41,5,9.50,1:02.14,4,9.21,1:01.55
2,8.98,1:10.16,1,8.99,1:10.07,3,9.33,1:10.74,5,9.79,1:11.93,4,9.28,1:10.83
5,27.57,1:37.73,1,9.01,1:19.08,2,9.58,1:20.32,4,10.24,1:22.17,3,9.65,1:20.48
5,14.69,1:52.416,1,9.32,1:28.398,2,9.82,1:30.136,4,10.47,1:32.639,3,9.80,1:30.275
