Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
2,12.07,12.07,3,12.16,12.16,4,12.40,12.40,1,11.95,11.95
1,9.16,21.23,2,9.13,21.29,4,9.05,21.45,3,9.36,21.31
1,9.06,30.29,2,9.01,30.30,4,9.10,30.55,3,9.08,30.39
3,9.06,39.35,1,8.92,39.22,4,8.90,39.45,2,8.90,39.29
2,9.51,48.86,1,9.10,48.32,3,9.57,49.02,4,42.24,1:21.53
2,8.99,57.85,1,9.06,57.38,3,9.01,58.03,4,20.71,1:42.24
2,9.09,1:06.94,1,9.07,1:06.45,3,9.19,1:07.22,4,14.19,1:56.43
2,9.41,1:16.35,1,9.23,1:15.68,3,9.38,1:16.60,4,11.93,2:08.36
2,9.78,1:26.121,1,9.75,1:25.428,3,9.87,1:26.468,4,12.12,2:20.479
