Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME,Peter JELEN POSITION,Peter JELEN LAP TIME,Peter JELEN ELAPSED TIME,Michele ANTONIOLI POSITION,Michele ANTONIOLI LAP TIME,Michele ANTONIOLI ELAPSED TIME,Dave VERSTEEG POSITION,Dave VERSTEEG LAP TIME,Dave VERSTEEG ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
3,8.877,8.877,2,8.715,8.715,6,9.219,9.219,5,9.126,9.126,1,8.696,8.696,4,8.931,8.931
6,12.598,21.475,2,12.233,20.948,5,12.162,21.381,4,12.139,21.265,1,12.211,20.906,3,12.245,21.176
3,10.465,31.939,2,10.973,31.920,6,11.020,32.400,4,10.931,32.195,1,10.847,31.753,5,11.083,32.258
2,11.020,42.959,3,11.043,42.963,5,10.805,43.205,6,11.042,43.237,1,11.006,42.758,4,10.855,43.113
2,10.812,53.771,3,11.067,54.030,6,10.998,54.202,5,10.884,54.121,1,10.957,53.715,4,10.987,54.099
1,10.848,1:04.619,5,11.023,1:05.052,6,10.912,1:05.113,4,10.823,1:04.943,2,10.950,1:04.664,3,10.793,1:04.892
6,10.806,1:15.424,2,10.016,1:15.068,5,10.134,1:15.247,4,10.292,1:15.234,1,10.325,1:14.989,3,10.264,1:15.156
4,9.658,1:25.082,1,9.849,1:24.917,5,9.957,1:25.204,2,9.764,1:24.997,6,10.220,1:25.209,3,9.910,1:25.065
1,9.716,1:34.798,4,10.092,1:35.009,5,9.947,1:35.151,2,9.906,1:34.903,6,20.609,1:45.817,3,9.912,1:34.976
3,10.290,1:45.087,4,10.110,1:45.119,5,10.402,1:45.553,2,9.979,1:44.882,6,33.692,2:19.509,1,9.814,1:44.790
3,9.944,1:55.031,4,10.057,1:55.175,5,10.423,1:55.976,2,10.137,1:55.018,6,15.804,2:35.312,1,10.083,1:54.872
3,9.949,2:04.980,4,10.356,2:05.531,5,10.611,2:06.586,1,9.817,2:04.835,6,14.512,2:49.823,2,10.090,2:04.962
2,10.079,2:15.058,4,10.937,2:16.467,5,11.075,2:17.661,1,10.010,2:14.845,6,13.643,3:03.466,3,10.118,2:15.080
3,10.39,2:25.439,0,,DQ,4,11.56,2:29.219,1,10.13,2:24.969,5,13.26,3:16.722,2,10.00,2:25.077
