QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME
1,14.25,14.25,2,14.33,14.33,3,14.50,14.50,4,14.59,14.59
2,10.89,25.14,3,10.87,25.20,4,10.79,25.29,1,10.48,25.07
4,9.77,34.91,3,9.52,34.72,2,9.39,34.68,1,9.53,34.60
4,9.67,44.58,3,9.75,44.47,2,9.63,44.31,1,9.61,44.21
4,9.65,54.23,3,9.52,53.99,2,9.60,53.91,1,9.61,53.82
4,9.49,1:03.72,3,9.65,1:03.64,2,9.56,1:03.47,1,9.52,1:03.34
3,9.26,1:12.98,4,9.64,1:13.28,2,9.38,1:12.85,1,9.33,1:12.67
3,9.40,1:22.38,4,9.97,1:23.25,2,9.41,1:22.26,1,9.32,1:21.99
3,9.55,1:31.93,4,10.42,1:33.67,2,9.58,1:31.84,1,9.61,1:31.60
