Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
1,8.00,8.00,2,8.29,8.29,3,8.43,8.43,4,8.72,8.72,5,8.89,8.89
1,10.66,18.66,2,10.47,18.76,3,10.48,18.91,4,10.35,19.07,5,10.36,19.25
1,9.96,28.62,2,9.98,28.74,3,9.96,28.87,4,9.94,29.01,5,9.97,29.22
1,9.65,38.27,2,9.67,38.41,3,9.69,38.56,5,9.88,38.89,4,9.61,38.83
1,9.66,47.93,2,9.67,48.08,3,9.62,48.18,5,10.14,49.03,4,9.53,48.36
1,9.45,57.38,2,9.39,57.47,3,9.48,57.66,5,10.49,59.52,4,9.43,57.79
1,9.56,1:06.94,2,9.57,1:07.04,3,9.47,1:07.13,5,10.78,1:10.30,4,9.51,1:07.30
1,9.56,1:16.50,2,9.56,1:16.60,3,9.58,1:16.71,5,11.20,1:21.50,4,9.55,1:16.85
2,9.76,1:26.26,1,9.65,1:26.25,3,9.70,1:26.41,5,11.67,1:33.17,4,9.62,1:26.47
4,9.99,1:36.25,1,9.66,1:35.91,3,9.83,1:36.24,5,11.97,1:45.14,2,9.49,1:35.96
3,9.99,1:46.24,2,9.82,1:45.73,4,10.24,1:46.48,5,13.03,1:58.17,1,9.51,1:45.47
3,10.04,1:56.28,2,9.73,1:55.46,4,10.67,1:57.15,5,12.57,2:10.74,1,9.55,1:55.02
3,10.38,2:06.66,2,9.80,2:05.26,4,11.34,2:08.49,5,12.62,2:23.36,1,9.86,2:04.88
3,11.09,2:17.741,2,10.26,2:15.517,4,11.98,2:20.468,5,12.51,2:35.867,1,10.28,2:15.159
