Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,GALLI Greta POSITION,GALLI Greta LAP TIME,GALLI Greta ELAPSED TIME,Maria GARCIA POSITION,Maria GARCIA LAP TIME,Maria GARCIA ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME
2,7.745,7.745,4,8.038,8.038,1,7.615,7.615,3,7.819,7.819
3,10.195,17.940,4,10.052,18.089,1,9.839,17.454,2,9.791,17.609
3,9.675,27.614,4,9.557,27.646,1,9.545,26.998,2,9.467,27.075
3,10.011,37.625,4,10.143,37.788,2,9.813,36.810,1,9.477,36.552
3,10.27,47.894,4,10.15,47.934,2,9.95,46.751,1,10.08,46.632
