WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME
1,6.75,6.75,2,6.97,6.97,3,7.08,7.08,4,7.22,7.22,5,7.50,7.50
1,8.88,15.63,2,8.85,15.82,3,8.87,15.95,4,8.92,16.14,5,8.90,16.40
1,8.53,24.16,2,8.46,24.28,3,8.40,24.35,4,8.47,24.61,5,8.58,24.98
1,8.72,32.88,2,8.66,32.94,2,8.59,32.94,4,8.70,33.31,5,8.81,33.79
2,8.97,41.846,3,9.07,42.009,1,8.88,41.819,4,8.96,42.265,5,9.19,42.975
