Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME
1,6.680,6.680,2,7.130,7.130,3,7.240,7.240,4,8.890,8.890
1,8.950,15.630,4,9.090,16.220,3,8.920,16.160,2,6.840,15.740
2,9.000,24.640,3,8.850,25.080,4,9.100,25.270,1,8.600,24.340
2,9.160,33.810,3,8.980,34.070,4,8.910,34.190,1,8.810,33.150
4,9.500,43.310,2,9.070,43.140,3,9.100,43.290,1,8.920,42.080
