Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
1,6.67,6.67,2,7.01,7.01,4,7.33,7.33,3,7.14,7.14
1,8.93,15.60,2,9.11,16.12,4,9.12,16.45,3,9.20,16.34
1,8.74,24.34,2,8.55,24.67,4,8.58,25.03,3,8.61,24.95
1,8.90,33.24,2,8.71,33.38,4,9.75,34.78,3,9.42,34.37
1,9.05,42.286,2,9.01,42.386,0,,PEN,3,9.49,43.856
