William PREUDHOMME POSITION,William PREUDHOMME LAP TIME,William PREUDHOMME ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Simon FRANCIS POSITION,Simon FRANCIS LAP TIME,Simon FRANCIS ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME
2,9.25,,4,9.40,9.40,1,9.24,9.24,6,9.59,9.59,3,9.28,9.28,4,9.40,9.40,7,9.73,9.73
4,11.43,,5,11.35,20.75,3,11.40,20.64,6,11.26,20.85,2,11.26,20.54,1,11.09,20.49,7,11.29,21.02
5,10.31,,1,9.87,30.62,3,10.22,30.86,7,10.42,31.27,2,10.23,30.77,3,10.37,30.86,6,10.10,31.12
3,9.88,,1,10.09,40.71,4,10.04,40.90,7,10.00,41.27,2,10.05,40.82,6,10.24,41.10,5,9.90,41.02
3,9.93,,2,9.95,50.66,4,10.04,50.94,7,10.05,51.32,1,9.81,50.63,6,10.06,51.16,5,10.05,51.07
3,9.74,,2,9.79,1:00.45,4,9.70,1:00.64,7,9.74,1:01.06,1,9.72,1:00.35,6,9.65,1:00.81,5,9.64,1:00.71
3,9.55,,2,9.57,1:10.02,4,9.54,1:10.18,7,9.58,1:10.64,1,9.56,1:09.91,6,9.60,1:10.41,5,9.56,1:10.27
3,9.55,,2,9.51,1:19.53,4,9.57,1:19.75,7,9.82,1:20.46,1,9.47,1:19.38,6,9.56,1:19.97,5,9.59,1:19.86
3,9.23,,1,9.19,1:28.72,4,9.21,1:28.96,7,10.60,1:31.06,2,9.37,1:28.75,6,9.22,1:29.19,5,9.20,1:29.06
6,9.46,,1,9.02,1:37.74,3,9.11,1:38.07,7,11.08,1:42.14,2,9.10,1:37.85,5,9.08,1:38.27,4,9.11,1:38.17
6,9.02,,2,8.96,1:46.70,3,8.92,1:46.99,7,11.73,1:53.87,1,8.77,1:46.62,5,8.96,1:47.23,4,8.96,1:47.13
6,9.14,,2,8.99,1:55.69,3,9.17,1:56.16,7,12.89,2:06.76,1,9.01,1:55.63,5,9.15,1:56.38,4,9.19,1:56.32
7,39.05,,2,9.18,2:04.87,4,9.50,2:05.66,6,11.58,2:18.34,1,9.12,2:04.75,5,9.60,2:05.98,3,9.31,2:05.63
7,19.35,2:54.89,2,9.56,2:14.43,5,12.98,2:18.64,6,11.96,2:30.30,1,9.52,2:14.27,4,9.79,2:15.77,3,9.80,2:15.43
