HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
3,13.37,13.37,2,13.27,13.27,1,13.10,13.10
3,9.63,23.00,2,9.62,22.89,1,9.70,22.80
3,9.66,32.66,2,9.68,32.57,1,9.68,32.48
3,9.73,42.39,2,9.73,42.30,1,9.71,42.19
3,9.65,52.04,2,9.64,51.94,1,9.63,51.82
3,9.48,1:01.52,2,9.48,1:01.42,1,9.55,1:01.37
1,8.89,1:10.41,2,9.07,1:10.49,3,9.53,1:10.90
1,9.08,1:19.49,2,9.12,1:19.61,3,9.49,1:20.39
1,9.11,1:28.593,2,9.32,1:28.928,3,9.76,1:30.149
