Takehiro KODERA POSITION,Takehiro KODERA LAP TIME,Takehiro KODERA ELAPSED TIME,Stephen LEE POSITION,Stephen LEE LAP TIME,Stephen LEE ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME
1,6.805,6.805,3,7.113,7.113,2,7.083,7.083,4,7.337,7.337
2,9.332,16.137,3,9.702,16.814,1,8.627,15.709,4,9.581,16.917
2,9.067,25.203,3,9.163,25.977,1,9.206,24.914,4,9.095,26.012
2,9.124,34.327,4,9.732,35.708,1,9.014,33.928,3,9.335,35.347
2,9.52,43.839,4,9.85,45.550,1,9.73,43.654,3,9.70,45.044
