Petar PETROV POSITION,Petar PETROV LAP TIME,Petar PETROV ELAPSED TIME,YAKUSHTOV Sergei POSITION,YAKUSHTOV Sergei LAP TIME,YAKUSHTOV Sergei ELAPSED TIME,ZHAO Qinyu POSITION,ZHAO Qinyu LAP TIME,ZHAO Qinyu ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Matthew WILSON POSITION,Matthew WILSON LAP TIME,Matthew WILSON ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
5,9.292,9.292,4,9.195,9.195,6,9.550,9.550,1,8.735,8.735,3,9.160,9.160,2,9.078,9.078
5,12.861,22.153,4,12.919,22.114,6,12.752,22.302,1,12.964,21.698,3,12.816,21.976,2,12.649,21.726
3,12.888,35.040,6,13.318,35.431,5,12.938,35.240,4,13.413,35.111,2,12.688,34.663,1,12.693,34.419
4,12.686,47.725,6,12.521,47.952,5,12.706,47.945,1,12.154,47.264,3,12.665,47.327,2,12.847,47.265
6,14.295,1:02.020,4,12.639,1:00.591,5,13.007,1:00.952,1,12.865,1:00.129,3,12.884,1:00.211,2,12.941,1:00.205
5,11.234,1:13.254,3,12.617,1:13.207,6,12.584,1:13.535,1,12.902,1:13.030,2,12.953,1:13.164,4,13.028,1:13.233
5,11.705,1:24.958,2,11.253,1:24.460,6,11.646,1:25.181,3,11.611,1:24.641,1,11.281,1:24.444,4,11.601,1:24.833
5,10.177,1:35.134,1,9.604,1:34.064,6,9.955,1:35.135,3,10.099,1:34.739,2,10.129,1:34.572,4,9.985,1:34.817
6,9.980,1:45.114,1,9.837,1:43.901,5,9.743,1:44.878,3,9.850,1:44.589,4,10.206,1:44.778,2,9.752,1:44.569
6,9.827,1:54.940,1,9.404,1:53.305,5,9.855,1:54.732,2,9.759,1:54.347,4,9.692,1:54.469,3,9.891,1:54.459
5,9.997,2:04.937,6,11.986,2:05.290,1,9.048,2:03.780,3,9.878,2:04.225,4,10.141,2:04.610,2,9.742,2:04.201
6,11.231,2:16.168,5,10.374,2:15.663,4,10.909,2:14.689,2,9.943,2:14.167,3,10.021,2:14.631,1,9.873,2:14.073
6,11.468,2:27.636,5,10.984,2:26.646,1,9.192,2:23.880,3,10.107,2:24.274,4,9.943,2:24.573,2,9.880,2:23.953
6,12.04,2:39.669,5,11.36,2:37.997,1,9.79,2:33.669,3,9.80,2:34.066,4,11.13,2:35.703,2,10.01,2:33.961
