Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,YIN Qi POSITION,YIN Qi LAP TIME,YIN Qi ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME
2,7.40,7.40,3,7.64,7.64,1,7.32,7.32,4,7.77,7.77,5,7.92,7.92
2,9.69,17.09,3,9.75,17.39,1,9.63,16.95,3,9.62,17.39,5,9.64,17.56
2,9.13,26.22,4,9.19,26.58,1,9.15,26.10,3,8.88,26.27,5,9.09,26.65
2,9.42,35.64,4,9.44,36.02,1,9.29,35.39,3,9.53,35.80,5,9.45,36.10
3,9.61,45.25,4,9.57,45.59,1,9.62,45.01,2,9.31,45.11,5,9.59,45.69
