Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,David GROSSENBACHER POSITION,David GROSSENBACHER LAP TIME,David GROSSENBACHER ELAPSED TIME
3,13.012,13.012,2,12.829,12.829,4,13.077,13.077,1,12.624,12.624
4,9.501,22.513,2,9.452,22.281,3,9.409,22.486,1,9.573,22.197
3,9.723,32.236,2,9.785,32.066,4,9.840,32.326,1,9.816,32.012
3,9.796,42.031,2,9.917,41.983,4,9.969,42.295,1,9.907,41.919
3,9.894,51.925,1,9.855,51.837,4,9.903,52.197,2,9.980,51.898
1,9.604,1:01.528,2,9.730,1:01.567,4,9.640,1:01.836,3,9.722,1:01.619
2,9.450,1:10.978,1,9.317,1:10.884,3,9.377,1:11.213,4,11.071,1:12.690
2,9.153,1:20.131,1,9.224,1:20.107,3,9.396,1:20.608,4,10.703,1:23.392
2,9.81,1:29.935,1,9.64,1:29.744,3,11.22,1:31.828,4,11.26,1:34.650
