Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Janis PIUSS POSITION,Janis PIUSS LAP TIME,Janis PIUSS ELAPSED TIME
1,7.03,7.03,2,7.19,7.19,4,7.28,7.28,3,7.20,7.20,5,7.70,7.70
1,9.08,16.11,3,9.12,16.31,4,9.15,16.43,2,8.99,16.19,5,9.50,17.20
1,8.53,24.64,3,8.52,24.83,4,8.48,24.91,2,8.55,24.74,5,9.01,26.21
3,8.99,33.63,2,8.76,33.59,4,8.84,33.75,1,8.76,33.50,5,9.43,35.64
3,9.22,42.844,2,8.76,42.341,0,,DQ,1,8.76,42.257,4,9.45,45.083
