Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME
1,12.33,12.33,3,12.40,12.40,2,12.34,12.34,4,12.51,12.51
1,9.68,22.01,3,9.71,22.11,2,9.72,22.06,4,9.74,22.25
1,9.46,31.47,3,9.56,31.67,2,9.52,31.58,4,9.55,31.80
2,9.73,41.20,3,9.64,41.31,1,9.51,41.09,4,9.63,41.43
2,9.52,50.72,3,9.50,50.81,1,9.56,50.65,4,9.46,50.89
2,9.46,1:00.18,3,9.47,1:00.28,1,9.42,1:00.07,4,9.48,1:00.37
1,9.26,1:09.44,3,9.36,1:09.64,2,9.57,1:09.64,4,9.28,1:09.65
1,9.22,1:18.66,3,9.51,1:19.15,4,10.40,1:20.04,2,9.18,1:18.83
1,9.61,1:28.265,3,9.44,1:28.585,4,11.64,1:31.674,2,9.46,1:28.283
