KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
2,8.86,8.86,3,9.01,9.01,4,9.11,9.11,5,9.21,9.21,1,8.79,8.79
3,12.58,21.44,4,12.53,21.54,2,12.30,21.41,5,12.40,21.61,1,12.54,21.33
3,11.40,32.84,4,11.40,32.94,1,11.27,32.68,5,11.40,33.01,2,11.42,32.75
4,10.98,43.82,5,11.09,44.03,1,10.97,43.65,2,10.66,43.67,3,11.00,43.75
2,9.89,53.71,5,9.96,53.99,4,10.16,53.81,1,9.94,53.61,3,10.02,53.77
2,10.51,1:04.22,5,10.50,1:04.49,3,10.44,1:04.25,1,10.52,1:04.13,4,10.56,1:04.33
2,10.14,1:14.36,5,10.09,1:14.58,1,10.02,1:14.27,3,10.32,1:14.45,4,10.17,1:14.50
2,10.31,1:24.67,5,10.46,1:25.04,1,10.34,1:24.61,3,10.34,1:24.79,4,10.42,1:24.92
2,10.28,1:34.95,5,10.19,1:35.23,1,10.30,1:34.91,3,10.27,1:35.06,4,10.19,1:35.11
2,10.08,1:45.03,5,9.92,1:45.15,1,9.99,1:44.90,3,10.05,1:45.11,4,10.00,1:45.11
2,9.60,1:54.63,4,9.69,1:54.84,1,9.64,1:54.54,5,9.92,1:55.03,3,9.65,1:54.76
2,9.52,2:04.15,4,9.73,2:04.57,1,9.54,2:04.08,5,9.78,2:04.81,3,9.78,2:04.54
2,9.62,2:13.77,5,10.12,2:14.69,1,9.57,2:13.65,4,9.81,2:14.62,3,9.99,2:14.53
1,9.47,2:23.233,5,12.77,2:27.452,2,9.74,2:23.383,3,10.08,2:24.695,4,10.19,2:24.712
