Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME
0,14.100,14.100,0,14.060,14.060,0,13.923,13.923,0,14.349,14.349
0,10.124,24.224,0,10.339,24.399,0,,,0,,
0,10.236,34.459,0,10.378,34.776,0,,34.417,0,,35.584
0,10.243,44.703,0,10.071,44.848,0,10.185,44.602,0,9.313,44.897
0,10.200,54.902,0,10.296,55.144,0,10.050,54.652,0,10.264,55.161
0,10.268,1:05.170,0,10.254,1:05.397,0,10.267,1:04.919,0,10.090,1:05.251
0,10.094,1:15.264,0,10.040,1:15.438,0,10.210,1:15.130,0,10.294,1:15.545
0,10.012,1:25.276,0,10.200,1:25.638,0,9.898,1:25.028,0,9.767,1:25.311
0,10.361,1:35.636,0,10.345,1:35.983,0,10.365,1:35.393,0,10.773,1:36.085
