AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME
4,9.59,9.59,1,9.29,9.29,3,9.42,9.42,2,9.34,9.34,5,9.70,9.70
4,13.31,22.90,3,13.46,22.75,1,13.16,22.58,2,13.26,22.60,5,13.26,22.96
4,13.33,36.23,3,13.33,36.08,1,13.25,35.83,2,13.34,35.94,5,13.38,36.34
4,13.13,49.36,2,12.91,48.99,1,13.12,48.95,3,13.10,49.04,5,13.13,49.47
4,12.59,1:01.95,1,12.43,1:01.42,2,12.59,1:01.54,3,12.63,1:01.67,5,12.65,1:02.12
4,11.82,1:13.77,2,12.09,1:13.51,3,12.07,1:13.61,1,11.84,1:13.51,5,11.81,1:13.93
1,10.22,1:23.99,4,10.78,1:24.29,2,10.39,1:24.00,3,10.63,1:24.14,5,10.47,1:24.40
3,10.29,1:34.28,4,10.15,1:34.44,1,10.20,1:34.20,2,10.12,1:34.26,5,10.18,1:34.58
3,9.83,1:44.11,4,9.67,1:44.11,2,9.80,1:44.00,1,9.65,1:43.91,5,9.67,1:44.25
4,9.97,1:54.08,3,9.87,1:53.98,2,9.89,1:53.89,1,9.87,1:53.78,5,9.98,1:54.23
4,9.42,2:03.50,3,9.39,2:03.37,2,9.37,2:03.26,1,9.38,2:03.16,5,9.41,2:03.64
4,9.04,2:12.54,3,9.03,2:12.40,2,9.06,2:12.32,1,9.06,2:12.22,5,9.25,2:12.89
4,9.11,2:21.65,3,9.06,2:21.46,2,9.06,2:21.38,1,9.06,2:21.28,5,9.46,2:22.35
4,9.37,2:31.019,3,9.05,2:30.503,2,9.08,2:30.460,1,9.08,2:30.355,5,9.86,2:32.203
