Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
5,14.47,14.47,4,14.26,14.26,3,14.12,14.12,2,14.02,14.02,1,13.92,13.92
5,10.82,25.29,4,10.95,25.21,3,10.99,25.11,2,10.99,25.01,1,10.97,24.89
5,10.61,35.90,2,10.38,35.59,3,10.53,35.64,4,10.63,35.64,1,10.69,35.58
5,9.83,45.73,1,9.72,45.31,2,9.76,45.40,4,9.94,45.58,3,9.96,45.54
4,9.64,55.37,2,9.78,55.09,1,9.66,55.06,3,9.65,55.23,5,9.97,55.51
5,9.71,1:05.08,1,9.44,1:04.53,2,9.52,1:04.58,3,9.41,1:04.64,4,9.29,1:04.80
5,9.99,1:15.07,1,9.43,1:13.96,3,9.60,1:14.18,4,9.56,1:14.20,2,9.16,1:13.96
5,10.40,1:25.47,2,9.35,1:23.31,3,9.43,1:23.61,4,9.50,1:23.70,1,9.09,1:23.05
5,10.67,1:36.137,2,9.50,1:32.809,3,9.53,1:33.134,4,9.55,1:33.242,1,9.49,1:32.540
