Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
1,8.45,8.45,2,8.57,8.57,3,8.74,8.74,4,8.85,8.85,5,9.00,9.00
1,11.32,19.77,2,11.34,19.91,4,11.29,20.03,3,11.13,19.98,5,11.21,20.21
1,10.70,30.47,2,10.67,30.58,4,10.79,30.82,3,10.73,30.71,5,10.73,30.94
1,10.63,41.10,2,10.62,41.20,4,10.61,41.43,3,10.62,41.33,5,10.57,41.51
1,10.40,51.50,2,10.40,51.60,4,10.41,51.84,3,10.43,51.76,5,10.44,51.95
1,10.03,1:01.53,2,10.04,1:01.64,4,10.05,1:01.89,3,10.04,1:01.80,5,10.05,1:02.00
1,9.67,1:11.20,2,9.64,1:11.28,4,9.60,1:11.49,3,9.62,1:11.42,5,9.59,1:11.59
1,9.60,1:20.80,3,9.61,1:20.89,4,9.53,1:21.02,2,9.40,1:20.82,5,9.56,1:21.15
5,9.41,1:30.21,2,9.09,1:29.98,3,9.10,1:30.12,1,9.03,1:29.85,4,9.05,1:30.20
5,9.23,1:39.44,2,9.09,1:39.07,3,9.04,1:39.16,1,9.12,1:38.97,4,9.06,1:39.26
5,9.19,1:48.63,3,9.31,1:48.38,2,9.14,1:48.30,1,9.21,1:48.18,4,9.25,1:48.51
4,9.14,1:57.77,5,29.08,2:17.46,2,9.15,1:57.45,1,9.18,1:57.36,3,9.06,1:57.57
4,9.13,2:06.90,5,13.77,2:31.23,2,9.20,2:06.65,1,9.19,2:06.55,3,9.16,2:06.73
0,,PEN,3,12.73,2:43.955,2,9.31,2:15.954,1,9.28,2:15.830,4,1:00.87,3:07.597
