Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
1,13.66,13.66,3,13.92,13.92,2,13.78,13.78,4,14.05,14.05
1,9.54,23.20,3,9.45,23.37,2,9.51,23.29,4,9.46,23.51
1,9.23,32.43,3,9.23,32.60,2,9.22,32.51,4,9.17,32.68
1,9.13,41.56,3,9.14,41.74,2,9.14,41.65,4,9.16,41.84
1,9.20,50.76,3,9.20,50.94,2,9.14,50.79,4,9.23,51.07
2,9.12,59.88,3,9.00,59.94,1,8.90,59.69,4,8.95,1:00.02
2,9.04,1:08.92,3,9.01,1:08.95,1,8.84,1:08.53,4,9.02,1:09.04
3,9.30,1:18.22,4,9.47,1:18.42,1,9.05,1:17.58,2,9.08,1:18.12
3,9.37,1:27.585,4,9.28,1:27.698,1,9.49,1:27.069,2,9.29,1:27.409
