Artsem ALIATDZINAU POSITION,Artsem ALIATDZINAU LAP TIME,Artsem ALIATDZINAU ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Yoann MARTINEZ POSITION,Yoann MARTINEZ LAP TIME,Yoann MARTINEZ ELAPSED TIME,Salvijus RAMANAUSKAS POSITION,Salvijus RAMANAUSKAS LAP TIME,Salvijus RAMANAUSKAS ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME
4,14.88,14.88,1,14.53,14.53,2,14.64,14.64,5,14.89,14.89,6,15.12,,3,14.77,14.77
6,11.34,26.22,1,11.39,25.92,2,11.36,26.00,5,11.30,26.19,4,11.05,,3,11.32,26.09
5,11.11,37.33,1,11.05,36.97,2,11.06,37.06,6,11.19,37.38,4,11.13,,3,11.09,37.18
5,10.48,47.81,1,10.38,47.35,2,10.44,47.50,6,10.48,47.86,4,10.43,,3,10.46,47.64
6,9.81,57.62,1,9.20,56.55,2,9.13,56.63,4,9.38,57.24,3,9.07,,5,9.83,57.47
6,9.80,1:07.42,1,9.11,1:05.66,2,9.11,1:05.74,4,9.74,1:06.98,3,8.96,,5,9.81,1:07.28
6,10.04,1:17.46,1,9.17,1:14.83,2,9.33,1:15.07,4,9.88,1:16.86,3,9.52,,5,9.93,1:17.21
6,10.17,1:27.63,1,9.32,1:24.15,2,9.24,1:24.31,4,9.96,1:26.82,3,9.52,,5,10.32,1:27.53
6,10.44,1:38.07,1,9.59,1:33.74,2,9.51,1:33.82,4,10.25,1:37.07,3,10.37,,5,10.34,1:37.87
