Matus UZAK POSITION,Matus UZAK LAP TIME,Matus UZAK ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
3,13.263,13.263,1,12.986,12.986,2,13.062,13.062,4,13.269,13.269
4,10.475,23.737,1,10.342,23.328,2,10.431,23.492,3,10.392,23.661
3,9.565,33.302,4,10.110,33.437,1,9.541,33.033,2,9.639,33.299
4,9.448,42.749,1,9.093,42.530,3,9.705,42.738,2,9.291,42.590
2,9.465,52.214,3,9.712,52.241,4,9.735,52.472,1,9.494,52.084
1,9.511,1:01.724,3,9.730,1:01.970,4,9.585,1:02.057,2,9.704,1:01.788
2,9.563,1:11.287,4,9.864,1:11.834,3,9.399,1:11.455,1,9.458,1:11.245
2,9.880,1:21.166,3,9.506,1:21.339,4,10.076,1:21.531,1,9.533,1:20.778
2,10.26,1:31.423,3,11.35,1:32.685,0,,DQ,1,10.17,1:30.939
