Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
1,6.66,6.66,3,7.06,7.06,2,6.80,6.80,4,7.27,7.27
1,9.10,15.76,3,8.94,16.00,2,9.11,15.91,4,9.04,16.31
1,8.85,24.61,2,8.71,24.71,3,8.89,24.80,4,8.71,25.02
2,8.77,33.38,1,8.52,33.23,4,9.08,33.88,3,8.85,33.87
2,9.00,42.371,1,8.82,42.046,4,9.37,43.247,3,8.97,42.838
