Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Boren ZUNAC POSITION,Boren ZUNAC LAP TIME,Boren ZUNAC ELAPSED TIME,Karl LINDQVIST POSITION,Karl LINDQVIST LAP TIME,Karl LINDQVIST ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
3,10.06,1:29.28,4,10.00,1:29.46,6,10.34,1:29.96,5,10.05,1:29.74,1,9.88,1:29.04,2,10.05,1:29.15
2,9.56,1:38.85,4,9.72,1:39.18,6,10.63,1:40.60,5,10.09,1:39.84,1,9.56,1:38.60,3,9.84,1:38.99
2,9.58,1:48.44,4,9.74,1:48.93,6,10.79,1:51.40,5,10.46,1:50.30,1,9.63,1:48.24,3,9.74,1:48.74
2,9.67,1:58.11,3,9.36,1:58.30,6,11.13,2:02.53,5,10.98,2:01.29,1,9.46,1:57.71,4,9.62,1:58.37
3,9.77,2:07.88,2,9.30,2:07.60,6,11.10,2:13.63,5,11.25,2:12.55,1,9.83,2:07.54,4,9.72,2:08.10
3,10.26,2:18.137,1,9.65,2:17.241,5,11.77,2:25.399,4,11.62,2:24.163,2,9.97,2:17.510,6,35.46,2:43.551
