Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME
2,8.75,8.75,1,8.65,8.65,5,9.37,9.37,4,9.09,9.09,3,8.95,8.95
2,13.47,22.22,1,13.38,22.03,5,13.18,22.55,4,13.30,22.39,3,13.32,22.28
2,11.08,33.31,1,10.95,32.99,5,10.90,33.46,4,11.04,33.43,3,11.05,33.34
2,10.83,44.14,1,10.91,43.90,5,11.08,44.54,4,10.99,44.42,3,10.92,44.26
2,11.21,55.36,1,11.09,55.00,5,11.11,55.66,3,11.11,55.54,4,11.28,55.55
2,9.89,1:05.25,1,10.18,1:05.18,5,9.96,1:05.62,3,9.87,1:05.41,4,9.99,1:05.55
3,9.94,1:15.20,2,9.97,1:15.15,4,9.64,1:15.26,1,9.72,1:15.13,5,9.80,1:15.35
1,9.69,1:24.89,5,10.61,1:25.77,4,9.99,1:25.25,2,9.96,1:25.09,3,9.87,1:25.23
2,10.03,1:34.92,1,9.05,1:34.83,4,10.01,1:35.27,3,9.97,1:35.07,5,10.07,1:35.30
2,9.69,1:44.62,1,9.51,1:44.34,4,9.63,1:44.90,3,9.69,1:44.77,5,10.01,1:45.32
2,9.53,1:54.15,1,9.40,1:53.75,4,9.50,1:54.41,3,9.59,1:54.36,5,10.69,1:56.01
2,9.47,2:03.63,1,9.54,2:03.29,4,9.44,2:03.86,3,9.41,2:03.78,5,11.00,2:07.02
2,9.66,2:13.29,1,9.54,2:12.84,3,9.43,2:13.29,4,10.01,2:13.80,5,11.37,2:18.39
3,10.13,2:23.412,1,10.13,2:22.967,2,9.86,2:23.146,4,10.76,2:24.558,5,11.80,2:30.190
