CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
1,12.44,12.44,2,12.63,12.63,3,12.74,12.74,4,12.81,12.81
1,9.60,22.04,2,9.57,22.20,3,9.55,22.29,4,9.58,22.39
1,9.58,31.62,2,9.54,31.74,3,9.54,31.83,4,9.53,31.92
1,9.55,41.17,2,9.52,41.26,3,9.52,41.35,4,9.53,41.45
1,9.53,50.70,2,9.54,50.80,3,9.58,50.93,4,9.57,51.02
1,9.37,1:00.07,2,9.31,1:00.11,3,9.32,1:00.25,4,9.34,1:00.36
2,9.04,1:09.11,1,8.95,1:09.06,3,8.99,1:09.24,4,9.01,1:09.37
2,9.03,1:18.14,1,9.03,1:18.09,3,9.07,1:18.31,4,9.04,1:18.41
2,9.25,1:27.381,1,9.21,1:27.292,4,9.52,1:27.829,3,9.08,1:27.483
