REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME
2,12.79,12.79,1,12.69,12.69,3,12.90,12.90,5,13.10,13.10,4,13.04,13.04
2,9.92,22.71,1,9.90,22.59,3,9.90,22.80,5,9.94,23.04,4,9.78,22.82
2,9.68,32.39,1,9.69,32.28,4,9.84,32.64,5,9.73,32.77,3,9.74,32.56
2,9.32,41.71,1,9.32,41.60,4,9.34,41.98,5,9.31,42.08,3,9.31,41.87
2,9.20,50.91,1,9.19,50.79,4,9.13,51.11,5,9.15,51.23,3,9.15,51.02
2,9.00,59.91,1,8.99,59.78,4,9.02,1:00.13,5,9.03,1:00.26,3,9.00,1:00.02
2,8.82,1:08.73,1,8.93,1:08.71,4,8.85,1:08.98,5,8.87,1:09.13,3,8.85,1:08.87
1,8.65,1:17.38,3,8.95,1:17.66,4,8.90,1:17.88,5,8.85,1:17.98,2,8.76,1:17.63
1,9.01,1:26.39,5,27.23,1:44.89,3,9.23,1:27.11,4,9.53,1:27.51,2,8.98,1:26.61
