BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME
1,6.88,6.88,3,7.00,7.00,2,6.90,6.90,4,7.25,7.25
2,8.86,15.74,3,8.85,15.85,1,8.74,15.64,4,8.85,16.10
2,8.36,24.10,3,8.31,24.16,1,8.32,23.96,4,8.34,24.44
3,8.52,32.62,2,8.33,32.49,1,8.46,32.42,4,8.41,32.85
3,8.58,41.195,2,8.56,41.043,1,8.60,41.019,4,8.71,41.560
