Artem KHMELIVSKYI POSITION,Artem KHMELIVSKYI LAP TIME,Artem KHMELIVSKYI ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
1,8.47,8.47,3,8.95,8.95,6,9.44,9.44,4,9.10,9.10,5,9.27,9.27,2,8.76,8.76
1,11.74,20.21,3,11.54,20.49,6,11.53,20.97,4,11.53,20.63,5,11.50,20.77,2,11.58,20.34
1,11.09,31.30,3,11.03,31.52,6,10.89,31.86,4,11.02,31.65,5,11.00,31.77,2,11.09,31.43
2,10.69,41.99,3,10.51,42.03,6,10.69,42.55,4,10.59,42.24,5,10.64,42.41,1,10.49,41.92
3,10.56,52.55,2,10.40,52.43,6,10.30,52.85,4,10.41,52.65,5,10.34,52.75,1,10.41,52.33
4,10.89,1:03.44,2,10.89,1:03.32,6,10.79,1:03.64,5,10.82,1:03.47,3,10.68,1:03.43,1,10.87,1:03.20
5,9.92,1:13.36,4,9.91,1:13.23,6,9.92,1:13.56,3,9.76,1:13.23,1,9.63,1:13.06,2,9.94,1:13.14
5,10.22,1:23.58,3,10.19,1:23.42,6,10.11,1:23.67,4,10.28,1:23.51,1,10.18,1:23.24,2,10.18,1:23.32
6,10.46,1:34.04,3,10.19,1:33.61,5,10.16,1:33.83,4,10.14,1:33.65,2,10.27,1:33.51,1,10.14,1:33.46
6,9.64,1:43.68,4,9.55,1:43.16,5,9.48,1:43.31,1,9.16,1:42.81,3,9.54,1:43.05,2,9.49,1:42.95
6,9.67,1:53.35,4,9.22,1:52.38,5,9.30,1:52.61,1,9.26,1:52.07,2,9.11,1:52.16,3,9.32,1:52.27
6,10.10,2:03.45,4,9.31,2:01.69,5,9.32,2:01.93,1,9.15,2:01.22,2,9.15,2:01.31,3,9.19,2:01.46
6,10.56,2:14.01,4,9.45,2:11.14,5,9.46,2:11.39,1,9.15,2:10.37,2,9.13,2:10.44,3,9.09,2:10.55
6,10.64,2:24.645,5,9.69,2:20.826,4,9.39,2:20.778,1,9.30,2:19.666,2,9.32,2:19.759,3,9.28,2:19.823
