WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,April SHIN POSITION,April SHIN LAP TIME,April SHIN ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,GONG Li POSITION,GONG Li LAP TIME,GONG Li ELAPSED TIME,Ashley Sook Hui CHIN POSITION,Ashley Sook Hui CHIN LAP TIME,Ashley Sook Hui CHIN ELAPSED TIME
4,8.81,8.81,2,8.57,8.57,1,8.45,8.45,5,8.94,8.94,7,9.21,9.21,3,8.67,8.67,6,9.07,9.07,8,9.34,9.34
5,12.42,21.23,3,12.51,21.08,2,12.51,20.96,5,12.29,21.23,8,12.33,21.54,4,12.51,21.18,1,11.84,20.91,7,12.07,21.41
6,11.07,32.30,3,10.94,32.02,4,11.10,32.06,1,10.65,31.88,7,10.88,32.42,5,11.04,32.22,2,11.08,31.99,8,11.04,32.45
7,11.10,43.40,2,10.97,42.99,4,11.12,43.18,1,10.98,42.86,6,10.87,43.29,5,11.04,43.26,3,11.10,43.09,8,11.04,43.49
7,11.12,54.52,1,11.14,54.13,5,11.18,54.36,2,11.29,54.15,2,10.86,54.15,6,11.24,54.50,4,11.18,54.27,8,11.14,54.63
6,10.42,1:04.94,2,10.56,1:04.69,5,10.53,1:04.89,4,10.65,1:04.80,1,10.49,1:04.64,7,10.47,1:04.97,3,10.51,1:04.78,8,10.51,1:05.14
1,10.07,1:15.01,2,10.33,1:15.02,8,10.70,1:15.59,5,10.49,1:15.29,3,10.40,1:15.04,7,10.49,1:15.46,4,10.41,1:15.19,6,10.30,1:15.44
2,9.79,1:24.80,1,9.69,1:24.71,7,9.60,1:25.19,5,9.77,1:25.06,4,9.93,1:24.97,6,9.69,1:25.15,3,9.75,1:24.94,8,10.14,1:25.58
2,9.74,1:34.54,1,9.75,1:34.46,3,9.39,1:34.58,6,9.82,1:34.88,5,9.86,1:34.83,7,9.79,1:34.94,4,9.69,1:34.63,8,10.37,1:35.95
2,9.47,1:44.01,1,9.47,1:43.93,4,9.71,1:44.29,5,9.49,1:44.37,7,9.82,1:44.65,6,9.68,1:44.62,3,9.48,1:44.11,8,10.83,1:46.78
2,9.47,1:53.48,1,9.47,1:53.40,4,9.44,1:53.73,5,9.55,1:53.92,7,10.25,1:54.90,6,9.82,1:54.44,3,9.47,1:53.58,8,11.19,1:57.97
2,9.64,2:03.12,1,9.66,2:03.06,4,9.59,2:03.32,5,9.65,2:03.57,7,10.72,2:05.62,6,10.07,2:04.51,3,9.64,2:03.22,8,11.76,2:09.73
4,10.16,2:13.28,1,9.77,2:12.83,3,9.64,2:12.96,5,9.87,2:13.44,7,11.83,2:17.45,6,10.46,2:14.97,2,9.69,2:12.91,8,12.86,2:22.59
4,,2:23.227,2,10.12,2:22.940,1,9.75,2:22.700,5,10.21,2:23.620,7,12.91,2:30.336,6,10.69,2:25.644,3,,2:23.221,8,13.25,2:35.816
