HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
1,13.59,13.59,2,13.63,13.63,3,13.78,13.78,4,14.06,14.06
2,10.70,24.29,1,10.52,24.15,3,10.57,24.35,4,10.40,24.46
2,10.43,34.72,1,10.56,34.71,3,10.55,34.90,4,10.57,35.03
1,9.85,44.57,2,9.98,44.69,3,9.88,44.78,4,9.90,44.93
1,10.26,54.83,2,10.26,54.95,3,10.29,55.07,4,10.28,55.21
1,10.26,1:05.09,3,10.40,1:05.35,2,10.21,1:05.28,4,10.17,1:05.38
1,9.65,1:14.74,4,9.81,1:15.16,2,9.59,1:14.87,3,9.59,1:14.97
1,9.56,1:24.30,4,9.53,1:24.69,2,9.54,1:24.41,3,9.55,1:24.52
1,9.77,1:34.070,4,9.59,1:34.276,2,9.74,1:34.147,3,9.73,1:34.248
