Camille de SERRES-RAINVILLE POSITION,Camille de SERRES-RAINVILLE LAP TIME,Camille de SERRES-RAINVILLE ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME
2,7.52,7.52,5,7.77,7.77,1,7.30,7.30,3,7.64,7.64,4,7.73,7.73
2,9.38,16.90,5,9.55,17.32,1,9.29,16.59,3,9.33,16.97,4,9.40,17.13
2,8.85,25.75,5,8.95,26.27,1,8.98,25.57,3,8.88,25.85,4,8.80,25.93
3,9.13,34.88,5,9.01,35.28,1,9.13,34.70,2,8.93,34.78,4,9.06,34.99
3,9.67,44.55,0,9.34,44.62,1,9.46,44.16,2,9.42,44.20,0,9.64,44.63
