YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
2,8.78,,5,9.22,9.22,6,9.43,9.43,4,9.04,9.04,1,8.59,8.59,3,8.95,8.95
2,12.38,,6,12.39,21.61,5,12.08,21.51,4,12.42,21.46,1,12.44,21.03,3,12.39,21.34
1,10.45,,6,10.65,32.26,3,10.38,31.89,4,10.51,31.97,2,10.71,31.74,5,10.70,32.04
1,10.35,,6,10.28,42.54,2,10.13,42.02,5,10.45,42.42,3,10.33,42.07,4,10.20,42.24
1,9.64,,6,9.45,51.99,3,9.61,51.63,2,9.20,51.62,4,9.61,51.68,5,9.58,51.82
3,9.21,,6,9.20,1:01.19,4,9.30,1:00.93,1,8.94,1:00.56,2,9.01,1:00.69,5,9.24,1:01.06
3,9.28,,6,9.22,1:10.41,4,9.24,1:10.17,1,9.34,1:09.90,2,9.30,1:09.99,5,9.25,1:10.31
5,9.35,,6,9.18,1:19.59,1,9.11,1:19.28,2,9.40,1:19.30,3,9.32,1:19.31,4,9.08,1:19.39
4,8.92,,6,8.99,1:28.58,1,8.85,1:28.13,5,9.08,1:28.38,3,9.00,1:28.31,2,8.82,1:28.21
3,9.20,,6,9.34,1:37.92,1,9.24,1:37.37,5,9.42,1:37.80,4,9.34,1:37.65,2,9.24,1:37.45
3,9.23,,6,9.25,1:47.17,1,9.22,1:46.59,5,9.27,1:47.07,4,9.26,1:46.91,2,9.24,1:46.69
3,8.95,,6,9.17,1:56.34,1,9.03,1:55.62,5,9.06,1:56.13,4,8.98,1:55.89,2,9.03,1:55.72
4,9.16,,6,9.33,2:05.67,1,9.06,2:04.68,5,9.17,2:05.30,3,8.97,2:04.86,2,9.06,2:04.78
3,9.20,,5,9.57,2:15.242,1,9.21,2:13.89,4,9.54,2:14.847,4,9.30,2:14.16,2,9.18,2:13.96
