Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
3,13.27,13.27,2,13.25,13.25,1,13.19,13.19,5,13.60,13.60,4,13.49,13.49
4,10.04,23.31,1,9.87,23.12,3,9.99,23.18,2,9.53,23.13,5,9.84,23.33
5,9.34,32.65,2,9.16,32.28,4,9.26,32.44,1,9.07,32.20,3,9.09,32.42
5,9.06,41.71,2,9.12,41.40,4,9.15,41.59,1,9.14,41.34,3,9.09,41.51
5,9.08,50.79,2,9.06,50.46,4,9.08,50.67,1,9.04,50.38,3,9.07,50.58
5,8.91,59.70,2,8.85,59.31,4,8.88,59.55,1,8.80,59.18,3,8.87,59.45
4,8.84,1:08.54,5,41.45,1:40.76,3,8.84,1:08.39,1,8.97,1:08.15,2,8.82,1:08.27
4,9.00,1:17.54,5,17.58,1:58.34,3,9.03,1:17.42,1,9.03,1:17.18,2,9.00,1:17.27
4,9.13,1:26.670,5,12.30,2:10.631,3,9.13,1:26.546,2,9.19,1:26.371,1,9.10,1:26.368
