XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
1,6.84,6.84,4,7.35,7.35,2,6.95,6.95,3,6.97,6.97
1,8.81,15.65,4,9.43,16.78,3,8.99,15.94,2,8.80,15.77
1,8.62,24.27,4,9.07,25.85,2,8.44,24.38,3,8.63,24.40
1,8.70,32.97,4,9.22,35.07,3,9.05,33.43,2,8.73,33.13
0,,PHOTO,4,9.44,44.486,3,8.94,42.37,0,,PHOTO
