DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,PARK In Wook POSITION,PARK In Wook LAP TIME,PARK In Wook ELAPSED TIME,KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME
1,6.78,6.78,2,6.90,6.90,3,7.03,7.03,4,7.29,7.29
1,8.80,15.58,2,8.70,15.60,3,8.86,15.89,4,9.11,16.40
2,8.49,24.07,1,8.36,23.96,3,8.44,24.33,4,8.68,25.08
2,8.48,32.55,1,8.47,32.43,3,8.66,32.99,4,8.75,33.83
2,8.73,41.28,1,8.77,41.20,3,9.06,42.05,4,9.00,42.83
