HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
2,12.82,12.82,1,12.75,12.75,3,12.95,12.95,4,13.05,13.05
2,10.26,23.08,1,10.26,23.01,3,10.23,23.18,4,10.22,23.27
2,9.88,32.96,1,9.89,32.90,3,9.88,33.06,4,9.88,33.15
1,9.79,42.75,2,9.93,42.83,3,9.85,42.91,4,9.88,43.03
1,9.54,52.29,3,9.54,52.37,2,9.44,52.35,4,9.47,52.50
2,9.31,1:01.60,3,9.39,1:01.76,1,9.14,1:01.49,4,9.34,1:01.84
2,9.09,1:10.69,3,9.06,1:10.82,1,9.05,1:10.54,4,9.11,1:10.95
2,8.99,1:19.68,3,9.05,1:19.87,1,9.08,1:19.62,4,9.03,1:19.98
1,9.14,1:28.820,3,9.26,1:29.126,2,9.49,1:29.109,4,9.26,1:29.239
