Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Denis ZASLAVSKY POSITION,Denis ZASLAVSKY LAP TIME,Denis ZASLAVSKY ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME
1,10.247,10.247,4,10.464,10.464,2,10.308,10.308,3,10.324,10.324,5,10.567,10.567
1,14.699,24.946,4,14.992,25.455,2,14.862,25.170,3,15.010,25.334,5,14.974,25.541
1,13.749,38.694,4,13.641,39.095,3,13.809,38.979,2,13.596,38.929,5,13.839,39.379
1,12.877,51.570,2,12.698,51.793,4,12.867,51.845,3,12.900,51.829,5,12.502,51.880
3,11.079,1:02.649,4,10.968,1:02.761,5,11.012,1:02.857,2,10.803,1:02.632,1,10.473,1:02.353
5,10.757,1:13.406,4,10.574,1:13.334,1,10.229,1:13.086,3,10.688,1:13.320,2,10.938,1:13.290
5,10.323,1:23.728,3,10.166,1:23.499,1,10.067,1:23.152,2,10.140,1:23.460,4,10.288,1:23.577
5,10.177,1:33.904,4,10.313,1:33.812,1,10.380,1:33.532,2,10.080,1:33.539,3,10.114,1:33.691
5,24.260,1:58.164,4,16.238,1:50.049,2,10.377,1:43.908,1,10.325,1:43.864,3,10.269,1:43.959
5,14.049,2:12.212,4,12.638,2:02.687,1,10.449,1:54.357,2,10.494,1:54.357,3,10.637,1:54.595
5,14.411,2:26.623,4,12.452,2:15.139,1,10.016,2:04.373,2,10.176,2:04.533,3,10.098,2:04.693
5,12.118,2:38.741,4,11.856,2:26.994,1,9.611,2:13.984,2,10.023,2:14.556,3,10.144,2:14.837
5,11.926,2:50.666,4,12.093,2:39.086,1,9.927,2:23.910,2,9.967,2:24.523,3,10.493,2:25.329
4,0.06,2:50.721,0,,DQ,1,10.58,2:34.487,2,10.47,2:34.987,3,11.42,2:36.743
