Jessica AUSMA POSITION,Jessica AUSMA LAP TIME,Jessica AUSMA ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME
2,9.46,9.46,3,9.72,9.72,4,10.10,10.10,5,10.26,10.26,1,9.36,9.36
1,14.15,23.61,3,14.45,24.17,4,14.46,24.56,5,14.38,24.64,2,14.63,23.99
1,14.07,37.68,3,13.76,37.93,4,13.56,38.12,5,13.78,38.42,2,13.78,37.77
2,12.41,50.09,1,12.09,50.02,4,12.35,50.47,5,12.09,50.51,3,12.37,50.14
1,12.03,1:02.12,2,12.20,1:02.22,4,12.14,1:02.61,5,12.24,1:02.75,3,12.25,1:02.39
2,11.97,1:14.09,3,11.89,1:14.11,1,11.25,1:13.86,5,11.70,1:14.45,4,11.80,1:14.19
2,10.66,1:24.75,3,10.67,1:24.78,1,10.86,1:24.72,5,10.67,1:25.12,4,10.68,1:24.87
3,10.65,1:35.40,2,10.50,1:35.28,1,10.52,1:35.24,5,10.57,1:35.69,4,10.62,1:35.49
2,10.11,1:45.51,4,10.40,1:45.68,1,10.11,1:45.35,5,10.22,1:45.91,3,10.06,1:45.55
1,9.80,1:55.31,3,9.90,1:55.58,2,10.04,1:55.39,5,9.99,1:55.90,4,10.05,1:55.60
3,10.19,2:05.50,4,9.94,2:05.52,1,9.96,2:05.35,2,9.50,2:05.40,5,10.18,2:05.78
4,9.95,2:15.45,3,9.90,2:15.42,2,9.79,2:15.14,1,9.36,2:14.76,5,9.68,2:15.46
3,9.75,2:25.20,5,9.81,2:25.23,2,9.90,2:25.04,1,9.69,2:24.45,4,9.75,2:25.21
5,10.69,2:35.884,3,9.94,2:35.169,2,10.06,2:35.100,1,10.33,2:34.778,4,10.07,2:35.272
