J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
3,12.81,12.81,2,12.72,12.72,4,12.89,12.89,1,12.58,12.58
3,9.82,22.63,1,9.73,22.45,4,9.85,22.74,2,9.92,22.50
3,9.66,32.29,1,9.68,32.13,4,9.67,32.41,2,9.68,32.18
3,9.30,41.59,2,9.39,41.52,4,9.43,41.84,1,9.32,41.50
2,9.13,50.72,1,9.12,50.64,4,9.04,50.88,3,9.30,50.80
2,9.22,59.94,1,9.25,59.89,4,9.26,1:00.14,3,9.22,1:00.02
2,9.13,1:09.07,1,9.13,1:09.02,4,9.11,1:09.25,3,9.12,1:09.14
2,9.02,1:18.09,1,9.06,1:18.08,3,9.21,1:18.46,4,9.69,1:18.83
1,9.09,1:27.180,2,9.27,1:27.350,3,9.39,1:27.850,4,10.22,1:29.042
