Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Munkhamidral GANBAT POSITION,Munkhamidral GANBAT LAP TIME,Munkhamidral GANBAT ELAPSED TIME
3,13.11,13.11,2,13.00,13.00,1,12.84,12.84,4,13.24,13.24
3,9.79,22.90,2,9.81,22.81,1,9.87,22.71,4,9.93,23.17
3,9.62,32.52,2,9.62,32.43,1,9.64,32.35,4,9.72,32.89
3,9.79,42.31,2,9.77,42.20,1,9.76,42.11,4,10.02,42.91
1,9.18,51.49,2,9.39,51.59,3,9.53,51.64,4,10.06,52.97
2,9.27,1:00.76,1,9.15,1:00.74,3,9.33,1:00.97,4,10.34,1:03.31
2,9.56,1:10.32,1,9.33,1:10.07,3,9.60,1:10.57,4,10.83,1:14.14
2,9.50,1:19.82,1,9.36,1:19.43,3,9.58,1:20.15,4,10.84,1:24.98
2,9.77,1:29.581,1,9.58,1:29.004,3,9.92,1:30.063,4,10.97,1:35.949
